SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,-80,-89,-89,-89,-81,-81,-81,-81,-80,-82,-82,-82,-78,-78,-78,-82,-93
Visitantes,f4:4e:05:16:b5:9d,-71,-75,-73,-71,-74,-71,-70,-67,-77,-76,-70,-73,-65,-72,-64,-68,-76,-71,-67,-69
Visitantes,f4:4e:05:16:b5:92,x,-74,-68,-68,-73,-73,-65,-62,-62,-62,-63,-67,-62,-66,-66,-66,-68,-68,-68,-68
Visitantes,f4:4e:05:1d:4c:92,-75,-80,-84,-80,-83,-80,-75,-80,-82,-77,-76,-76,-75,-75,-78,-74,-90,-90,-81,-81
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,x,x,x,x,-89
UNMSM,f4:4e:05:16:b5:9f,-71,-75,-73,-71,-74,-71,-69,-67,-77,-77,-69,-73,-64,-64,-65,-65,-76,-70,-67,-69
UNMSM,f4:4e:05:16:b5:90,-76,-76,-68,-68,-68,-68,-66,-63,-63,-72,-64,-68,-62,-67,-61,-61,-60,-60,-72,-70
UNMSM,f4:4e:05:1d:4c:90,x,x,-84,-80,-79,-80,-76,-80,-78,-78,-74,-74,-76,-76,-77,-74,-88,-88,-82,-80
UNMSM,f4:4e:05:1d:4c:9f,-91,-91,-91,-91,-91,-88,-88,-88,-88,-88,-87,-87,-87,-87,-87,x,x,x,x,-89
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,x,-78,-78,-78,-78,x,x,-73,-73,-73,-73,-73,x,x,x,x,x
Red Telematica,f4:4e:05:1d:4c:95,-80,-80,-80,-80,-81,-80,-76,-79,-77,-78,-74,-75,-75,-75,-79,-75,-78,-88,-88,-80
Red Telematica,f4:4e:05:1d:4c:9a,x,x,-89,-89,-89,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,x,x,x,x,-88
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,-78,-78,-78,-78,-82,-82,-82,-82,-82,-82,-82,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,-75,-79,-79,-79,-79,-79,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,-73,-73,-70,-70,-70,-70,x,x,x,x
