SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,x,x,x,x,x,-92,-92,-92,-92,-92,x,x,x,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-77,-81,-78,-81,-79,-82,-82,-80,-78,-81,-79,-80,-80,-79,-77,-79,-82,-79,-81,-77
Visitantes,f4:4e:05:16:b5:92,-68,-66,-74,-66,-74,-68,-76,-68,-68,-68,-76,-76,-70,-77,-77,-77,-77,-72,-68,-72
Visitantes,f4:4e:05:1d:4c:92,-87,-87,-87,-87,-87,-86,-80,-87,-80,-89,-78,-80,-87,-80,-80,-82,-82,-80,-84,-84
Visitantes,f4:4e:05:1d:4c:9d,-89,-89,-89,-89,-89,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-77,-80,-78,-81,-79,-82,-82,-79,-79,-81,-79,-79,-79,-78,-77,-79,-81,-79,-80,-77
UNMSM,f4:4e:05:16:b5:90,-69,-66,-72,-66,-73,-68,-76,-67,-75,-75,-75,-68,-69,-77,-77,-77,-67,-72,-68,-72
UNMSM,f4:4e:05:1d:4c:90,x,x,x,-83,-83,-84,-81,-87,-80,-87,-78,-85,-82,-82,-82,-81,-81,-82,-84,-84
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,x,x,x,x,x,x,x,-84,-84,-84,-84,-84,x,x,-83,-83,-83
Red Telematica,f4:4e:05:1d:4c:95,x,-85,-85,-83,-83,-84,-81,-87,-80,-80,-77,-81,-87,-79,-79,-81,-86,-81,-82,-82
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,-89,-89,-89,-89,-89,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
