SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,x,x,x,-89,-89,-89,-87,-87,-87,-87,-87,-87,-87,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-73,-77,-77,-75,-71,-73,-70,-76,-72,-71,-76,-76,-76,-71,-74,-70,-77,-71,-76,-68
Visitantes,f4:4e:05:16:b5:92,-70,-65,-65,-64,-68,-66,-70,-70,-66,-65,-66,-66,-66,-65,-65,-70,-68,-70,-70,-67
Visitantes,f4:4e:05:1d:4c:92,-81,-77,-82,-79,-83,-80,-79,-79,-81,-81,-81,-81,-78,-78,-80,-80,-79,-83,-82,-82
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-73,-77,-77,-75,-70,-73,-69,-76,-72,-71,-77,-71,-71,-71,-75,-69,-76,-71,-76,-69
UNMSM,f4:4e:05:16:b5:90,-65,-66,-66,-65,-68,-66,-71,-73,-66,-65,-68,-67,-67,-63,-64,-67,-68,-71,-71,-71
UNMSM,f4:4e:05:1d:4c:90,-82,-76,-82,-79,-82,-82,-79,-79,-79,-82,-82,-81,-80,-80,-81,-81,-81,-84,-83,-82
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,-72,-72,-75,-75,-75,-75,-75,x,-76,-76,-76,-76,-76,-75,-75,-75,-75,-75
Red Telematica,f4:4e:05:1d:4c:95,-83,-77,-81,-78,-83,-83,-81,-81,-83,-84,-80,-81,-81,-81,-83,-83,-83,-85,-78,-83
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-87,-87,-84,-84
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,-59,-59,-59,-59,-59,x,x,x,x,x,x,x,x,x,x,x,x
