SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,-86,-95,-95,-95,-95,-95,-86,-86,-86,-86,-86,x,-88,-88,-88,-88,-88,x,x
Visitantes,f4:4e:05:16:b5:9d,-71,x,-70,-74,-74,-74,-71,-71,-70,-74,-70,-73,-70,-70,-70,-70,-71,-74,-74,-73
Visitantes,f4:4e:05:16:b5:92,x,-70,-70,-70,-70,-70,-66,-73,-76,-74,-74,-74,-67,-67,-67,-67,-67,-73,-73,-74
Visitantes,f4:4e:05:1d:4c:92,-83,-84,-82,-82,-82,-82,-88,-88,-85,-85,-85,-85,-85,x,-81,-81,-81,-81,-81,x
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,x,x,x,x,-89,-89,-89,-89,-89,x,x,x,-88
UNMSM,f4:4e:05:16:b5:9f,-71,x,-71,-75,-75,-75,-71,-71,-70,-74,-70,-73,-70,-70,-70,-69,-71,-74,-74,-73
UNMSM,f4:4e:05:16:b5:90,-74,x,-71,-71,-71,-76,-67,-76,-77,-71,-67,-75,-67,-68,-68,-68,-67,-73,-73,-73
UNMSM,f4:4e:05:1d:4c:90,x,-90,-84,-88,-87,-82,-90,-90,-84,-84,-89,-89,-87,-87,-87,-87,-87,-87,-87,-87
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,x,x,x,-88,-88,-88,-88,-88,x,x,x,-89
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,x,-77,-77,-77,-77,-78,-77,-77,-77,-77,x,x,x,x,x,x,x
Red Telematica,f4:4e:05:1d:4c:95,x,-82,-86,-83,-83,-80,-89,-84,-81,-81,-81,-83,-83,-83,-83,-83,-83,-83,x,x
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,-89,-89,-89,-89,-89,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,-91,-91,-91,-91,-71,-71,-71,-71,-71,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
