SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,x,-92,-92,-92,-92,x,-91,-91,-91,-93,-93,-93,-93,-93,x,x
Visitantes,f4:4e:05:16:b5:9d,-79,-79,-72,-80,x,-79,-74,-79,-73,-82,-74,-79,-74,-74,-75,-73,-81,-75,-74,-82
Visitantes,f4:4e:05:16:b5:92,-65,-65,-64,-64,x,-64,-64,-65,-65,-63,-63,-63,-65,-65,-63,-64,-63,-64,-64,-63
Visitantes,f4:4e:05:1d:4c:92,-87,-78,-85,-79,x,-87,-86,-86,-86,-86,-87,-86,-86,-86,-86,-80,-84,-84,-84,-83
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,-86,-86,-87,-87,-87,-87,x,-86,-87,-88,-88,-86,-86
UNMSM,f4:4e:05:16:b5:9f,-78,-79,-72,-80,x,-80,-74,-80,-73,-80,-73,-79,-74,-73,-74,-73,-82,-76,-73,-81
UNMSM,f4:4e:05:16:b5:90,-64,-64,-65,-64,x,-64,-64,-65,-65,-63,-63,-63,-65,-65,-64,-66,-64,-63,-64,-63
UNMSM,f4:4e:05:1d:4c:90,-88,-78,-87,-82,x,-86,-85,-85,-85,-84,-88,-86,-86,-86,-91,-84,-84,-84,-84,-84
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,-86,-86,-87,-87,-87,-87,x,-88,-88,-86,-86,-87,-87
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,-71,x,-71,-71,-71,x,x,-81,-81,-81,-82,-76,-76,-74,-74,-74,-74
Red Telematica,f4:4e:05:1d:4c:95,-86,-78,-88,-82,x,-87,-88,-88,-88,-87,-88,-83,-85,-85,-85,-83,-83,-95,-95,-83
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,-85,-85,-88,-88,-88,-88,x,-87,-87,-88,-88,-87,-87
P,fa:fb:59:9c:d2:76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
onehugo,92:00:7c:fc:df:40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Luis,f6:27:3c:9d:68:5e,-89,-89,-89,-89,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-78,-78
