SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,x,x,x,x,x,x,x,-88,-86,-86,-86,-86,-86,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-78,-75,-76,-77,-78,-81,-80,-77,-79,-77,-79,-77,-76,-79,-77,-80,-76,-80,-77,-81
Visitantes,f4:4e:05:16:b5:92,-70,-71,-70,-72,-72,-75,-73,-72,-71,-72,-75,-73,-72,-75,-73,-72,-72,-73,-72,-72
Visitantes,f4:4e:05:1d:4c:92,-88,-88,-83,-86,-87,-87,-86,-86,-85,-82,-87,-88,-81,-84,-84,-84,-83,-83,-82,-85
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-79,-75,-75,-77,-77,-80,-80,-77,-79,-76,-79,-77,-76,-78,-77,-79,-76,-78,-77,-81
UNMSM,f4:4e:05:16:b5:90,-68,-70,-70,-73,-73,-73,-72,-73,-72,-72,-75,-74,-72,-75,-72,-72,-72,-75,-72,-72
UNMSM,f4:4e:05:1d:4c:90,-87,-87,-83,-84,-89,-79,-89,-89,-89,-82,-86,-84,-81,-83,-83,-83,-82,-82,-82,-89
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,-83,-83,-83,-83,-78,-78,-78,-78,-78,-78,-78,x,x,x,x,x,x,-80
Red Telematica,f4:4e:05:1d:4c:95,-87,-87,-85,-83,-89,-89,-89,-89,-87,-87,-87,-86,-82,-84,-82,-82,-83,-83,-83,-88
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,-92,-92,-92,-92,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,-89,-89,-89,-89,-89,x,-85,-85
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
