SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,-92,-92,-92,-92,-92,x,x,x,x,x,x,x,x,x,-93,-93,-93,-93
Visitantes,f4:4e:05:16:b5:9d,-73,-72,-73,-76,-75,-72,-72,-74,-72,-75,-75,-75,-74,-72,-77,-77,-72,-77,-73,-76
Visitantes,f4:4e:05:16:b5:92,-74,-73,-72,-71,-75,-74,-73,-73,-73,-73,-72,-71,-71,-72,-72,-72,-72,-71,-71,-73
Visitantes,f4:4e:05:1d:4c:92,-82,-85,-79,-79,-81,-80,-78,-88,-88,-88,-89,-89,-89,-89,-89,-89,-89,-88,-83,-83
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-73,-72,-72,-75,-75,-72,-72,-73,-73,-74,-74,-74,-74,-71,-77,-76,-72,-77,-73,-75
UNMSM,f4:4e:05:16:b5:90,-74,-73,-73,-72,-75,-73,-72,-72,-72,-72,-72,-72,-72,-73,-72,-72,-72,-72,-72,-72
UNMSM,f4:4e:05:1d:4c:90,-84,-87,-80,-80,-82,-84,-80,-80,-80,-80,-88,-88,-88,-88,-90,-91,-84,-88,-82,-89
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Red Telematica,f4:4e:05:1d:4c:95,x,-83,-80,-86,-82,-82,-81,-81,-81,-81,-88,-82,-82,-82,-82,-89,-83,-83,-83,-83
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
P,fa:fb:59:9c:d2:76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
onehugo,92:00:7c:fc:df:40,x,x,x,x,x,x,x,x,-86,-86,-90,-90,-90,-90,-86,-86,-86,-86,-86,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Luis,f6:27:3c:9d:68:5e,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,-89,-84,-82,-82,-82,-82,-90,-79,-79,-79,-87,-87,-84,-84,-84,-86,-86,-83,-83,-83
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
