SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,-90,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-76,-76,-69,-77,-77,-77,-73,-74,-71,-70,-75,-75,-77,-73,-78,-79,-78,-71,-72,-77
Visitantes,f4:4e:05:16:b5:92,-71,x,x,x,x,-61,-61,-61,-49,-49,-61,-61,-61,-73,-66,-66,-68,-68,-70,-70
Visitantes,f4:4e:05:1d:4c:92,-82,-86,-86,-86,-86,-86,x,x,-87,-87,-87,-87,-84,-80,-80,-80,-80,-80,x,x
Visitantes,f4:4e:05:1d:4c:9d,x,-90,-90,-90,-90,-90,x,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-76,-75,-68,-77,-74,-74,-73,-75,-71,-70,-75,-75,-77,-72,-80,-79,-79,-71,-71,-77
UNMSM,f4:4e:05:16:b5:90,-72,-72,-72,-72,-72,-63,-63,-63,-59,-59,-61,-65,-65,-73,-65,-65,-65,-65,-65,x
UNMSM,f4:4e:05:1d:4c:90,-83,x,-84,-84,-84,-84,-84,x,-85,-85,-85,-85,-85,-77,-77,-77,-77,-77,x,x
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,-75,x,x,x,x,x,-83,-83,-83,-83,-83,x,x,x,x,x,x,x,-77,-77
Red Telematica,f4:4e:05:1d:4c:95,-82,x,x,x,x,x,x,x,-88,-88,-88,-88,-86,-80,-80,-80,-80,-80,x,x
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
