SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,-91,-91,-91,-91,-91,-88,-88,-89,-85,-85,-86,-90,-90,-90,-90,-90,x,-83,-88,-88
Visitantes,f4:4e:05:16:b5:9d,-72,-79,-77,-77,-77,-75,-80,-76,-80,-77,-79,-77,-80,-76,-75,-77,-77,-77,-77,-77
Visitantes,f4:4e:05:16:b5:92,-70,-70,-67,-62,-68,-67,-61,-67,-63,-67,-61,-67,-61,-65,-68,-68,-68,-62,-67,-67
Visitantes,f4:4e:05:1d:4c:92,-84,-85,-85,-81,-88,-83,-84,-84,-83,-83,-83,-83,-84,-91,-91,-80,-80,-81,-81,-77
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-78,-79,-77,-77,-77,-75,-80,-76,-80,-77,-77,-76,-76,-76,-75,-77,-77,-76,-77,-77
UNMSM,f4:4e:05:16:b5:90,-69,-69,-67,-64,-68,-67,-62,-62,-63,-65,-65,-67,-61,-61,-65,-65,-69,-63,-68,-68
UNMSM,f4:4e:05:1d:4c:90,-83,-83,-88,-81,-81,-83,-85,-87,-83,-83,-84,-89,-82,-90,-90,-80,-80,-83,-89,-89
UNMSM,f4:4e:05:1d:4c:9f,-88,-88,-88,-88,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,x,x,-76,-76,-76,-76,-76,x,-83,-77,-77,-77,-77,-77,-84,-87,-87
Red Telematica,f4:4e:05:1d:4c:95,-81,-84,-84,-82,-82,-85,-84,-89,-89,-89,-84,-84,-82,-91,-91,-80,-80,-83,-83,-84
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
