SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,-82,-82,-82,-82,-82,x,x,x,x,x,x,x,x,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-74,-77,-75,-77,-74,-74,-71,-71,-71,-71,-72,-79,-79,-74,-74,-76,-77,-77,-73,-76
Visitantes,f4:4e:05:16:b5:92,-65,-65,-65,-65,-65,-70,-70,-70,-70,-70,x,x,x,x,x,x,-68,-68,-68,-68
Visitantes,f4:4e:05:1d:4c:92,x,x,x,x,x,x,x,x,x,x,x,-81,-83,-82,-88,-82,-84,-85,-84,-84
Visitantes,f4:4e:05:1d:4c:9d,-87,-87,-87,-86,-86,-86,-86,-86,x,-88,-87,-87,-87,-87,-87,-88,-88,-88,-88,-88
UNMSM,f4:4e:05:16:b5:9f,-67,-76,-75,-76,-74,-75,-70,-70,-71,-71,-74,-76,-76,-74,-74,-76,-76,-76,-73,-77
UNMSM,f4:4e:05:16:b5:90,-74,x,x,-73,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-74,-69,-72,-72,-72
UNMSM,f4:4e:05:1d:4c:90,-83,-83,-83,-83,-83,x,x,x,-85,-83,-83,-81,-82,-82,-86,-83,-84,-84,-86,-86
UNMSM,f4:4e:05:1d:4c:9f,-87,-87,-87,-87,-87,-87,-87,-87,x,-89,-87,-87,-87,-87,-87,-89,-89,-89,-89,-89
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,-90,-90,-90,-90,-90,x,x,-79,-79,-79,-79,x,x,x,x,x,x
Red Telematica,f4:4e:05:1d:4c:95,x,x,x,x,x,x,x,x,x,x,x,-81,-85,-85,-88,-82,-83,-84,-84,-84
Red Telematica,f4:4e:05:1d:4c:9a,-86,-86,-86,-86,-86,-86,-86,-86,x,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
P,fa:fb:59:9c:d2:76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
onehugo,92:00:7c:fc:df:40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Luis,f6:27:3c:9d:68:5e,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,-81,-81,-81,-81,-81,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
