SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,x,x,x,x,x,x,x,-88,-83,-83,-83,-83,-83,-83,-82,-82
Visitantes,f4:4e:05:16:b5:9d,-69,-77,-76,-74,-77,-76,-72,-75,-75,-75,-75,-73,-77,-75,-75,-75,-76,-74,-75,-77
Visitantes,f4:4e:05:16:b5:92,-69,-68,-66,-66,-66,-66,-66,-68,-68,-68,-68,-61,-67,-70,-68,-68,-68,-68,-66,-70
Visitantes,f4:4e:05:1d:4c:92,-78,-81,-77,-77,-77,-84,-80,-84,-77,-83,-83,-76,-78,-81,-76,-77,-80,-80,-82,-75
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-70,-77,-77,-73,-76,-78,-72,-75,-75,-74,-74,-73,-77,-75,-76,-72,-76,-75,-75,-77
UNMSM,f4:4e:05:16:b5:90,-70,-68,-67,-67,-67,-68,-68,-68,-68,-67,-67,-62,-66,-70,-68,-68,-66,-66,-67,-69
UNMSM,f4:4e:05:1d:4c:90,-79,-82,-77,-77,-77,-77,-80,-83,-83,-83,-83,-77,-78,-83,-83,-77,-79,-78,-80,-76
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-82,-82,-82
Red Telematica,f4:4e:05:1d:4c:95,-76,-82,-79,-79,-80,-85,-82,-84,-78,-78,-78,-78,-78,-82,-80,-78,-80,-78,-82,-75
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
P,fa:fb:59:9c:d2:76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
onehugo,92:00:7c:fc:df:40,x,x,x,-85,-81,-72,-83,-80,-89,-89,-89,-89,-89,-75,-78,-78,-72,-75,-71,-87
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Luis,f6:27:3c:9d:68:5e,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
