SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,-94,-94,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-83,-83
Visitantes,f4:4e:05:16:b5:9d,-74,-83,-74,-77,-80,-82,-82,-77,-78,-79,-79,-75,-75,-77,-77,-78,-80,-80,-79,-77
Visitantes,f4:4e:05:16:b5:92,-73,-81,-81,-81,-81,x,-68,-68,-68,-70,-70,-69,-73,-73,-67,-67,-67,-67,-67,x
Visitantes,f4:4e:05:1d:4c:92,-79,-88,-88,-84,-84,-84,-77,-77,-77,-77,-77,-84,-84,-84,-84,-78,-82,-83,-83,-82
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-74,-82,-73,-76,-79,-82,-82,-78,-78,-77,-77,-75,-78,-77,-77,-77,-79,-79,-80,-76
UNMSM,f4:4e:05:16:b5:90,-73,-73,-69,-69,-73,-73,-69,-72,-72,-69,-69,-69,-74,-71,-67,-67,-67,-67,-67,x
UNMSM,f4:4e:05:1d:4c:90,-85,-84,-84,-84,-84,x,-76,-76,-76,-76,-76,-82,-79,-79,-79,-84,-84,-84,-84,-80
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,-79,-79,-79,-79,-79,x,-82,-82,-82,-82,-82,x,-75,-75,-75,-75,-75,x,x,x
Red Telematica,f4:4e:05:1d:4c:95,-77,-86,-86,-86,-86,x,-79,-79,-79,-79,-79,-80,-80,-80,-80,-80,x,x,x,x
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
P,fa:fb:59:9c:d2:76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
onehugo,92:00:7c:fc:df:40,-75,-75,-84,-78,-76,-80,-81,-81,-78,-77,-77,-78,-80,-79,-79,-84,-80,-80,-76,-89
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Luis,f6:27:3c:9d:68:5e,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-79,-79
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
