SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,-87,-87,-84,-84,-84,-84,-84,x,x,x,x,-90,-90,-90,-91,-92,-90
Visitantes,f4:4e:05:16:b5:9d,-72,-75,-75,-75,-75,-74,-74,-74,-75,-76,-70,-73,-73,-73,-73,-76,-75,-75,-73,-74
Visitantes,f4:4e:05:16:b5:92,-66,-66,-65,-65,-65,-65,-65,-65,-67,-63,-63,-64,-67,-63,-63,-63,-67,-64,-64,-65
Visitantes,f4:4e:05:1d:4c:92,x,x,-78,-78,-76,-76,-77,-84,-84,-84,-84,-84,x,x,x,x,x,x,-78,-78
Visitantes,f4:4e:05:1d:4c:9d,-84,-84,-84,-84,-86,-86,-88,-88,-86,-86,-84,-84,-88,-88,-86,-86,-85,-85,-86,-84
UNMSM,f4:4e:05:16:b5:9f,-73,-74,-74,-75,-76,-74,-73,-73,-75,-76,-70,-72,-72,-74,-72,-76,-75,-75,-74,-73
UNMSM,f4:4e:05:16:b5:90,-67,-63,-65,-64,-67,-67,-67,-64,-64,-63,-63,-66,-68,-63,-67,-67,-66,-64,-68,-66
UNMSM,f4:4e:05:1d:4c:90,x,x,-79,-79,-78,-78,-78,-78,-78,-78,-78,x,x,x,x,x,-78,-78,-78,-86
UNMSM,f4:4e:05:1d:4c:9f,-86,-86,-86,-86,-86,-86,-87,-87,-87,-87,-85,-85,-87,-87,-87,-87,-84,-84,-87,-86
U.INFORMATICA,c4:12:f5:74:b6:90,-70,x,-74,-74,-74,-78,-78,-85,-85,-78,-78,-78,-78,-78,-78,-78,x,-77,-77,-77
Red Telematica,f4:4e:05:1d:4c:95,-78,-78,-78,-78,-78,-78,-78,-78,-79,-83,-83,-83,-79,-79,-79,-84,-84,-87,-78,-78
Red Telematica,f4:4e:05:1d:4c:9a,-87,-87,-87,-87,-86,-86,-86,-86,-87,-87,-84,-84,-88,-88,-87,-87,-86,-86,-86,-86
P,fa:fb:59:9c:d2:76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
onehugo,92:00:7c:fc:df:40,-74,-85,-85,-84,-81,-80,-82,-84,-84,-80,-80,-76,-83,-84,-84,-83,-83,-83,-83,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Luis,f6:27:3c:9d:68:5e,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
