SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,x,x,x,x,-94,-91,-91,-91,-91,-91,x,x,x,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-80,-79,-79,-78,-81,-80,-81,-80,-79,-80,-80,-82,-81,-80,-80,-79,-79,-80,-80,-80
Visitantes,f4:4e:05:16:b5:92,-72,-75,-77,-76,-76,-76,-76,-75,-74,-74,-76,-76,-76,-73,-76,-76,-73,-73,-73,-73
Visitantes,f4:4e:05:1d:4c:92,x,x,x,-82,-82,-82,-82,-88,-88,-88,-88,-88,x,x,-88,-88,-88,-88,-88,x
Visitantes,f4:4e:05:1d:4c:9d,x,x,-88,-88,-88,-88,-88,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-80,-79,-80,-78,-82,-79,-80,-80,-78,-80,-79,-81,-81,-79,-79,-81,-80,-80,-80,-80
UNMSM,f4:4e:05:16:b5:90,-74,-74,-76,-75,-72,-76,-76,-77,-71,-71,-71,-71,-71,-73,-75,-75,-75,-75,-75,-75
UNMSM,f4:4e:05:1d:4c:90,x,x,x,-82,-82,-82,-82,-90,-90,-90,-90,-90,-88,-88,-88,-88,-88,x,x,x
UNMSM,f4:4e:05:1d:4c:9f,x,x,-87,-87,-87,-87,-87,x,x,x,x,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,-83,-83,-83,-83,-89,-89,-89,-89,-89,x,x,x,x,x,x,x,x,-84
Red Telematica,f4:4e:05:1d:4c:95,x,x,x,-82,-82,-82,-82,-82,x,x,x,x,x,x,x,x,x,x,x,-85
Red Telematica,f4:4e:05:1d:4c:9a,x,x,-87,-87,-87,-87,-87,x,x,x,x,x,x,x,x,x,x,x,x,x
P,fa:fb:59:9c:d2:76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
onehugo,92:00:7c:fc:df:40,x,x,x,x,-89,-89,-89,-89,x,x,x,x,x,-90,-90,-90,-91,-84,-84,-84
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Luis,f6:27:3c:9d:68:5e,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,-88,-88,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
