SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,x,x,x,x,x,x,x,-89,-89,-89,-89,x,x,x,x,x,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-69,-69,-69,-73,-73,-71,-72,-73,-74,-70,-68,-76,-67,-70,-68,-64,-68,-64,-66,-66
Visitantes,f4:4e:05:16:b5:92,-72,-72,-72,-74,-74,-72,-72,-72,-64,-64,-64,-64,-64,-64,-64,-64,x,x,-65,-65
Visitantes,f4:4e:05:1d:4c:92,x,-82,-82,-84,-84,-86,-86,-89,-88,-88,-80,-80,-81,-81,-81,-76,-82,-82,-86,-85
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,-87,-88,-88,-88,-85,-84,-84,-84,-84,-84,-84,x,x
UNMSM,f4:4e:05:16:b5:9f,-68,-68,-69,-73,-73,-71,-72,-73,-73,-69,-68,-75,-67,-69,-68,-64,-69,-64,-66,-66
UNMSM,f4:4e:05:16:b5:90,-72,-72,-67,-74,-74,-74,-74,-70,-63,-63,-63,-63,-63,x,-69,-69,-66,-61,-66,-66
UNMSM,f4:4e:05:1d:4c:90,x,-81,-88,-82,-82,-85,-85,-85,-83,-80,-80,-80,-84,-84,-84,-84,-84,-84,x,-85
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,x,x,-87,-87,-87,-84,-86,-86,-86,-86,-86,-86,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Red Telematica,f4:4e:05:1d:4c:95,x,-83,-83,-85,-85,-82,-82,-82,-77,-90,-90,-90,-84,-77,-77,-77,-77,-77,-83,-85
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,-90,-87,-87,-87,-85,-88,-88,-88,-88,-88,-88,x,x
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
